approach,cv_auc,ci_lo,ci_hi
A+B+G lasso (enriched),0.6048689138576778,0.5013435351665785,0.7069791745360228
C tuned elastic-net,0.6033083645443196,0.5024058808305931,0.7057776441354515
D stacked ensemble,0.5352684144818977,0.4202722586605544,0.6425185686010777
E Bayesian (informative priors),0.6733770287141073,0.5687814933577645,0.7695494505494505
Model 5 (composite mean),0.6315543071161049,0.52418689876317,0.7348443735035914
