score,n,failures,rate,ci_lo,ci_hi
0,29,2,0.06896551724137931,0.019120864097994437,0.21964947595851925
1,61,8,0.13114754098360656,0.06797996145868099,0.23802112426406494
2,83,13,0.1566265060240964,0.09387923553162916,0.24975330923954045
3,36,11,0.3055555555555556,0.18004270282805357,0.46856578679083716
4,5,2,0.4,0.11761823115925325,0.769280067791163
