model,cv_auc,boot_mean,ci_lo,ci_hi
Logistic (selected) (selected 7),0.6693196004993758,0.6707576456200002,0.5783224912138148,0.7612611201254642
Random forest (selected 7),0.6073657927590512,0.6093796123812298,0.49724564963444845,0.7152370252030578
Gradient boosting (selected 7),0.5997191011235955,0.6015630585622633,0.49535454712621474,0.6994682771938208
XGBoost (selected 7),0.5958177278401997,0.597403512569956,0.49041420118343193,0.701328179600559
Logistic (selected) (full 25),0.5483770287141074,0.5480961247640521,0.43617517581887044,0.6541795142303949
Random forest (full 25),0.5735018726591761,0.5770205840921766,0.4645246889464584,0.6863358359296607
Gradient boosting (full 25),0.5302746566791511,0.5322933563152503,0.41627053724906377,0.6354853361829323
XGBoost (full 25),0.5254369538077404,0.5278651402285605,0.42006395170080907,0.6362458718243941
