variable,coef,se,OR,OR_lo,OR_hi,p
const,-2.480542959246039,0.4669536653928355,0.08369776877528382,0.03351522968937962,0.2090189016422207,1.0832020853006932e-07
age_pts,0.44723782427429826,0.27752693837434395,1.5639862089452476,0.9078237930968079,2.694413696105988,0.10706830508350368
sdh_vol_ge100,0.8641425320656357,0.388003230308854,2.3729704672780714,1.1092345410431006,5.0764636604974855,0.025937054591829857
anticoag,0.49025710970475084,0.40540840253815624,1.6327359582538346,0.7376183284369128,3.614100418334535,0.2265507099771482
focal_deficit,-0.1523472628876739,0.3917472366134732,0.8586900377776288,0.3984561845678396,1.850513581005812,0.6973562357165455
