model,apparent,boot_mean,ci_lo,ci_hi
Integer score (Model 1),0.692103620474407,0.6943844283242847,0.5862804878048781,0.7829825454717697
Logistic regression,0.6352996254681648,0.6364438183360233,0.5333413402003827,0.7347188610080904
Elastic-net logistic,0.6315543071161049,0.6327710161963932,0.5301648954687629,0.7315102190232635
Random forest,0.577247191011236,0.5792371585630045,0.47793311956023826,0.6726400290789488
Gradient boosting,0.5691323345817728,0.5700946523337669,0.46819435027336515,0.6678906010942802
XGBoost,0.5678838951310862,0.5692813116343073,0.4630467933646813,0.6686128467221542
