score,n,failures,rate,ci_lo,ci_hi
0,8,0,0.0,0.0,0.3244156195108769
1,29,4,0.13793103448275862,0.05497350852047822,0.30559357712699325
2,50,3,0.06,0.02061459636463048,0.16217343370877002
3,64,6,0.09375,0.04367765783128785,0.1898309858327767
4,47,18,0.3829787234042553,0.2579048266351308,0.5257369155602367
5,13,3,0.23076923076923078,0.08179379092465712,0.5025687399512693
6,3,2,0.6666666666666666,0.20765495512648788,0.9385096847238393
