variable,coef,se,OR,OR_lo,OR_hi,p
const,-2.907133184174152,0.5085232774566949,0.05463212582579183,0.02016472489818741,0.1480143759617291,1.0853956836783721e-08
age_pts_socr,0.7053491061208295,0.3108444283625544,2.0245533455302693,1.100874893866623,3.723235284712015,0.023259895723753417
sdh_vol_ge100,0.6831632711392913,0.3992361697720078,1.980131528705481,0.905448169503587,4.330364788437481,0.08704866512443088
plt_lt150,0.7574495127524405,0.4285363909576487,2.132829523083386,0.9208423964359148,4.940000365038236,0.07714006162306591
antiplatelet,0.48189618079574636,0.3908305791152741,1.6191416785750814,0.7526780655987559,3.4830558974950754,0.21757378169987984
focal_deficit,-0.14494822823061962,0.39597987465009243,0.8650670780046957,0.3980990158296945,1.8797862333016173,0.7143281522850449
