mode,n_features,features,apparent_auc,cv_auc,cv_lo,cv_hi,brier
natural,5,"age, plt, hypertension, antiplatelet, sdh_vol_ge100",0.7119225967540574,0.6612030534317934,0.5617629162776221,0.7532366013874394,0.13427978983125402
balanced,4,"age, plt, antiplatelet, sdh_vol_ge100",0.6984238451935081,0.6454167822068414,0.5411683006535949,0.7440347515732131,0.23092776198603043
smote,5,"age, plt, hypertension, antiplatelet, sdh_vol_ge100",0.7119225967540574,0.6650312114519404,0.5633726724664225,0.7616964285149499,0.21979054120276278
