score,n,failures,rate,ci_lo,ci_hi
0,17,1,0.058823529411764705,0.010460130645164236,0.26982545203562797
1,39,6,0.15384615384615385,0.07247373845051468,0.2972976986573431
2,63,6,0.09523809523809523,0.04438287994388781,0.19261922652872804
3,67,15,0.22388059701492538,0.1406360851472927,0.33707192822338217
4,23,6,0.2608695652173913,0.1254844588924897,0.4647039054375056
5,5,2,0.4,0.11761823115925325,0.769280067791163
