variable,coef,se,OR,OR_lo,OR_hi,p
const,-3.3459517418287943,0.611688180861137,0.03522667250046321,0.010621887523137969,0.11682654827136535,4.4996338551669385e-08
age_pts,0.4441902337148293,0.2899092758292804,1.559227074969108,0.8833608433899119,2.7522038015484043,0.12548054179678145
sdh_vol_ge100,0.8898108897725036,0.41060019850500273,2.4346691869081702,1.0887707294237037,5.444317972083645,0.030227378539196787
anticoag,0.5683814146255632,0.42153702918240105,1.7654072752664665,0.7727374176057985,4.033275439437427,0.17754434173675604
focal_deficit,-0.2231560969091674,0.40806881833175884,0.7999899635869904,0.3595304932806928,1.780054692997252,0.5844756204712513
plt_lt150,0.6893160162904259,0.434173350987786,1.9923523305541813,0.8507405149632128,4.665897226296226,0.1123651427048204
antiplatelet,0.6475071934240544,0.39910169383653954,1.9107717029628746,0.873962550481031,4.177580033416876,0.10471526004420142
ant_post,0.7600855510952182,0.4097198197909686,2.1384591601945955,0.9579587700655112,4.773699790344258,0.06357696020380897
