variable,coef,se,OR,OR_lo,OR_hi,p
const,-3.0798771922716597,1.383412221113018,0.04596490114753641,0.003053962591050033,0.6918133652633798,0.025994743584090464
age,0.03306204168411524,0.017664313122790955,1.0336146644465756,0.9984418393465941,1.070026547823926,0.06125010367680316
plt,-0.005252181715764195,0.0026341181229735133,0.9947615868750299,0.9896390895128713,0.9999105989328018,0.04616242002000295
hypertension,-0.731505413724395,0.39083342828482653,0.48118406347675446,0.22368312322531908,1.035116550615979,0.06125432293431587
antiplatelet,0.5214515603488745,0.39631829544165764,1.68447098723783,0.7746700942236087,3.662775325914365,0.18826155558754132
sdh_vol_ge100,0.597319693993162,0.3980854704446161,1.8172415036683915,0.8328402009211533,3.9651864535386405,0.13348984556079238
