score,n,failures,rate,ci_lo,ci_hi
0,13,2,0.15384615384615385,0.04325726318273798,0.4223517050863101
1,36,4,0.1111111111111111,0.044065689087418335,0.25315129015036325
2,67,4,0.05970149253731343,0.023458971433043544,0.14369704988776227
3,50,8,0.16,0.08337321362087696,0.2851448096176598
4,35,14,0.4,0.25550504933307244,0.5642758041848053
5,13,4,0.3076923076923077,0.1268049716161809,0.5763111218666236
