M4 logit (natural),M4 logit (balanced),M4 logit (smote),RF (natural),RF (balanced),GBM (natural),XGB (natural),XGB (scale_pos_weight)
0.08478549269424587,0.385155829512703,0.26124584474050744,0.05256685554725915,0.16646379875444692,0.021895075775379677,0.021665170416235925,0.060936782322824
0.17027296906591616,0.5753501435380505,0.4747274617727227,0.124185916191621,0.33315627655411106,0.06287912094772316,0.06423036605119706,0.16294340826570988
0.2645380610192614,0.7049519406392435,0.6453818264310727,0.19617159311682986,0.42585613231669806,0.27460551860858995,0.30254574194550515,0.6456194192171096
0.26605330336837496,0.5464018714975519,0.6831274344835249,0.18982135233903744,0.42038068365791104,0.17482133393931992,0.17623461671173574,0.45421421676874163
0.056909773148853524,0.32568674941541065,0.1729875969118067,0.10286007131315847,0.2988982256373641,0.12548943194962175,0.09540683105587959,0.23788879364728927
0.34160636643100983,0.6343218989363708,0.719445843619864,0.3373008720912571,0.5929277754292084,0.3320871215568522,0.42048106491565707,0.644276139140129
0.17124699075024064,0.42806631748083407,0.4702427645190513,0.15639708766680832,0.40478267719311667,0.31814490255729855,0.3101133793592453,0.6883591175079345
0.02249095778166543,0.16462051922565943,0.0625920698855541,0.07117437919777961,0.17314393521074792,0.023538738246433433,0.025163564551621675,0.034859505482017994
0.11612906744051607,0.3122919059352208,0.3809531405711569,0.1113004366683659,0.33610259072147797,0.11516980875841751,0.07708767727017403,0.2285510428249836
0.3388102459294735,0.7753993508072882,0.7219148407071088,0.28572527967101485,0.541225759981537,0.23327666909382874,0.2634317860007286,0.5294781297445297
0.05362892621122235,0.1663984130950463,0.20235731052726816,0.11290906992349195,0.22616195885915383,0.0664838591938762,0.1360492456704378,0.1746795501559973
0.0684771578390965,0.3234093502889018,0.22756225998454557,0.08437127411192336,0.25111155121461726,0.10387669834440286,0.10491857677698135,0.27633518278598784
0.08414754036899688,0.395755562124742,0.25916664194969996,0.06288481041813662,0.23373082879777418,0.03838558590384193,0.03481095917522907,0.10378987826406956
0.15347147027811242,0.32643866696473517,0.46197662008164697,0.1566258740477567,0.23640562570580034,0.014389250419775429,0.05470437612384558,0.045036906562745574
0.19836921125986026,0.454906999282391,0.5271385863482803,0.14190473511078583,0.3814211651756848,0.15886492438112998,0.1380877360701561,0.35974665731191635
0.09381358828604958,0.25580821732889913,0.31051115119741046,0.07888615464946777,0.24824318809711715,0.08465644785291701,0.10996956564486027,0.26628739535808565
0.1690474409083925,0.5946740763537084,0.5041473855197143,0.2244703783667855,0.48980748520303263,0.162315176497381,0.1937785841524601,0.4606064364314079
0.15744227504792757,0.5551553148839282,0.4716776369343171,0.2844748631089179,0.48287031991003254,0.41773044966476985,0.47802778482437136,0.744745421409607
0.2064351508409224,0.6469032194602382,0.5408219345655205,0.1718068951254777,0.41987106526725204,0.13898297968465376,0.12572478726506234,0.3201671153306961
0.45764414669569425,0.7120643191621232,0.8433531622194359,0.35405158169702977,0.6190241278031574,0.5721391082604431,0.5293476425111294,0.7795775353908538
0.0818856355239068,0.39527838285924527,0.24842575154993357,0.049903374086632694,0.21251389008516747,0.04479950661983066,0.03408621866255999,0.11180313937366008
0.4378037592574627,0.7232104581889643,0.8192244282774563,0.36383475503933027,0.6177037415870577,0.46571129382743315,0.3356361508369446,0.6169800460338593
0.18408891237610261,0.6128249424721137,0.5111646017971803,0.1702272202216714,0.3969400956237704,0.1784818126209546,0.16084835678339005,0.4299804627895355
0.42862422132031835,0.6857339614398452,0.8258064099130561,0.2617118750634123,0.4872087263717428,0.2633463034393694,0.30767943859100344,0.5953710705041886
